14/08/07 16:09:48 WARN mapred.JobClient: Use GenericOptionsParser for parsing the arguments. Applications should implement Tool for the same.
14/08/07 16:09:48 INFO input.FileInputFormat: Total input paths to process : 2
14/08/07 16:09:48 INFO util.NativeCodeLoader: Loaded the native-hadoop library
14/08/07 16:09:48 WARN snappy.LoadSnappy: Snappy native library is available
14/08/07 16:09:48 INFO snappy.LoadSnappy: Snappy native library loaded
14/08/07 16:09:48 INFO mapred.JobClient: Running job: job_201408041736_0010
14/08/07 16:09:49 INFO mapred.JobClient:  map 0% reduce 0%
14/08/07 16:10:06 INFO mapred.JobClient:  map 1% reduce 0%
14/08/07 16:10:13 INFO mapred.JobClient:  map 2% reduce 0%
14/08/07 16:10:19 INFO mapred.JobClient:  map 3% reduce 0%
14/08/07 16:10:25 INFO mapred.JobClient:  map 4% reduce 0%
14/08/07 16:10:31 INFO mapred.JobClient:  map 5% reduce 0%
14/08/07 16:10:37 INFO mapred.JobClient:  map 6% reduce 0%
14/08/07 16:11:01 INFO mapred.JobClient:  map 7% reduce 0%
14/08/07 16:11:07 INFO mapred.JobClient:  map 8% reduce 0%
14/08/07 16:11:11 INFO mapred.JobClient:  map 9% reduce 0%
14/08/07 16:11:17 INFO mapred.JobClient:  map 10% reduce 0%
14/08/07 16:11:23 INFO mapred.JobClient:  map 11% reduce 0%
14/08/07 16:11:29 INFO mapred.JobClient:  map 12% reduce 0%
14/08/07 16:11:36 INFO mapred.JobClient:  map 13% reduce 0%
14/08/07 16:11:56 INFO mapred.JobClient:  map 14% reduce 0%
14/08/07 16:11:59 INFO mapred.JobClient:  map 15% reduce 0%
14/08/07 16:12:02 INFO mapred.JobClient:  map 16% reduce 0%
14/08/07 16:12:06 INFO mapred.JobClient:  map 17% reduce 0%
14/08/07 16:12:12 INFO mapred.JobClient:  map 18% reduce 0%
14/08/07 16:12:19 INFO mapred.JobClient:  map 19% reduce 0%
14/08/07 16:12:22 INFO mapred.JobClient:  map 20% reduce 0%
14/08/07 16:12:25 INFO mapred.JobClient:  map 21% reduce 0%
14/08/07 16:12:28 INFO mapred.JobClient:  map 22% reduce 0%
14/08/07 16:12:34 INFO mapred.JobClient:  map 23% reduce 0%
14/08/07 16:12:42 INFO mapred.JobClient:  map 24% reduce 0%
14/08/07 16:12:46 INFO mapred.JobClient:  map 25% reduce 0%
14/08/07 16:12:52 INFO mapred.JobClient:  map 26% reduce 0%
14/08/07 16:12:54 INFO mapred.JobClient:  map 27% reduce 0%
14/08/07 16:12:57 INFO mapred.JobClient:  map 28% reduce 0%
14/08/07 16:13:00 INFO mapred.JobClient:  map 29% reduce 0%
14/08/07 16:13:05 INFO mapred.JobClient:  map 30% reduce 0%
